Orbit Number,Frame,Disk Misalignment,Ecc Inner,Ecc Outer,Angle Inner,Angle Outer
1800.0,0,0.3372,0.1099,0.0276,2.408585307179586,2.071385307179586
1810.0,0,0.3434,0.1101,0.0278,2.423085307179586,2.079685307179586
1820.0,0,0.3529,0.11,0.0281,2.4378853071795863,2.0849853071795863
1830.0,0,0.3691,0.11,0.0283,2.454185307179586,2.085085307179586
1840.0,0,0.3777,0.1099,0.0286,2.467085307179586,2.089385307179586
1850.0,0,0.3858,0.1097,0.0288,2.4812853071795864,2.095485307179586
1860.0,0,0.3905,0.1092,0.029,2.493585307179586,2.103085307179586
1870.0,0,0.3974,0.1087,0.0292,2.5117853071795864,2.114385307179586
1880.0,0,0.406,0.1083,0.0294,2.5292853071795864,2.123285307179586
1890.0,0,0.421,0.108,0.0296,2.545985307179586,2.1249853071795863
1900.0,0,0.4336,0.1077,0.0298,2.558585307179586,2.1249853071795863
1910.0,0,0.4374,0.1071,0.03,2.572085307179586,2.134685307179586
1920.0,0,0.4343,0.1066,0.0302,2.585985307179586,2.1516853071795863
1930.0,0,0.4288,0.1061,0.0304,2.5961853071795864,2.167385307179586
1940.0,0,0.4255,0.1058,0.0306,2.608285307179586,2.1827853071795866
1950.0,0,0.4333,0.1053,0.0308,2.6194853071795863,2.186185307179586
1960.0,0,0.4375,0.1049,0.031,2.6291853071795863,2.1916853071795863
1970.0,0,0.438,0.1041,0.0312,2.634985307179586,2.1969853071795864
1980.0,0,0.4337,0.1037,0.0314,2.641885307179586,2.208185307179586
1990.0,0,0.4287,0.1033,0.0316,2.6453853071795863,2.2166853071795867
2000.0,0,0.4187,0.103,0.0318,2.647385307179586,2.2286853071795862
2010.0,0,0.4058,0.1029,0.032,2.647785307179586,2.2419853071795863
2020.0,0,0.3993,0.1027,0.0322,2.6478853071795863,2.248585307179586
2030.0,0,0.3839,0.1026,0.0324,2.6478853071795863,2.2639853071795866
2040.0,0,0.3764,0.1024,0.0325,2.6489853071795864,2.272585307179586
2050.0,0,0.3676,0.1021,0.0327,2.6493853071795863,2.281785307179586
2060.0,0,0.3583,0.1019,0.0329,2.649285307179586,2.2909853071795863
2070.0,0,0.3446,0.1016,0.033,2.6493853071795863,2.304785307179586
2080.0,0,0.3295,0.1013,0.0332,2.649885307179586,2.320385307179586
2090.0,0,0.3059,0.1009,0.0334,2.648885307179586,2.3429853071795863
2100.0,0,0.2885,0.1005,0.0335,2.6459853071795862,2.3574853071795863
2110.0,0,0.2717,0.1002,0.0337,2.6426853071795864,2.3709853071795863
2120.0,0,0.2529,0.1,0.0339,2.640885307179586,2.3879853071795862
2130.0,0,0.2396,0.0998,0.034,2.6419853071795862,2.4023853071795864
2140.0,0,0.2266,0.0996,0.0342,2.641085307179586,2.414485307179586
2150.0,0,0.2143,0.0995,0.0344,2.638785307179586,2.4244853071795864
2160.0,0,0.2021,0.0993,0.0345,2.6340853071795864,2.4319853071795863
2170.0,0,0.1875,0.0991,0.0347,2.6270853071795863,2.4395853071795863
2180.0,0,0.1757,0.0992,0.0349,2.623185307179586,2.447485307179586
2190.0,0,0.171,0.099,0.035,2.6260853071795864,2.455085307179586
2200.0,0,0.1565,0.0988,0.0352,2.6222853071795864,2.465785307179586
2210.0,0,0.143,0.0987,0.0354,2.6173853071795863,2.474385307179586
2220.0,0,0.1356,0.0987,0.0355,2.615385307179586,2.4797853071795863
2230.0,0,0.1299,0.0986,0.0357,2.6150853071795863,2.485185307179586
2240.0,0,0.1224,0.0986,0.0359,2.612885307179586,2.4904853071795863
2250.0,0,0.1166,0.0985,0.036,2.6125853071795864,2.4959853071795863
2260.0,0,0.1094,0.0985,0.0362,2.611185307179586,2.501785307179586
2270.0,0,0.1012,0.0985,0.0363,2.609085307179586,2.507885307179586
2280.0,0,0.0916,0.0984,0.0365,2.6060853071795864,2.5144853071795863
2290.0,0,0.08,0.0984,0.0366,2.602185307179586,2.522185307179586
2300.0,0,0.0679,0.0983,0.0368,2.5975853071795862,2.5296853071795864
2310.0,0,0.058,0.0981,0.0369,2.5938853071795864,2.535885307179586
2320.0,0,0.0485,0.0979,0.0371,2.5906853071795863,2.542185307179586
2330.0,0,0.0395,0.098,0.0372,2.5885853071795863,2.549085307179586
2340.0,0,0.0297,0.0982,0.0373,2.586385307179586,2.556685307179586
2350.0,0,0.0201,0.0985,0.0375,2.5845853071795863,2.564485307179586
2360.0,0,0.0118,0.0983,0.0376,2.584885307179586,2.573085307179586
2370.0,0,0.0057,0.0982,0.0377,2.5874853071795862,2.581785307179586
2380.0,0,6.2812,0.0979,0.0378,2.588485307179586,2.5904853071795864
2390.0,0,6.2714,0.0978,0.038,2.588285307179586,2.600085307179586
2400.0,0,6.2611,0.0977,0.0381,2.586785307179586,2.608885307179586
2410.0,0,6.2503,0.0977,0.0382,2.5876853071795862,2.6205853071795864
2420.0,0,6.2415,0.0977,0.0383,2.5912853071795863,2.6329853071795863
2430.0,0,6.2307,0.0976,0.0384,2.5919853071795864,2.644485307179586
2440.0,0,6.2134,0.0974,0.0385,2.5876853071795862,2.657485307179586
2450.0,0,6.198,0.097,0.0386,2.585085307179586,2.6702853071795865
2460.0,0,6.1787,0.0971,0.0387,2.581785307179586,2.686285307179586
2470.0,0,6.1591,0.0971,0.0388,2.5811853071795863,2.705285307179586
2480.0,0,6.139,0.0967,0.0388,2.5860853071795864,2.730285307179586
2490.0,0,6.1082,0.0964,0.039,2.5851853071795863,2.760185307179586
2500.0,0,6.0683,0.0962,0.0391,2.5841853071795864,2.799085307179586
2510.0,0,6.0076,0.0962,0.0392,2.5834853071795862,2.859085307179586
2520.0,0,5.9739,0.0958,0.0393,2.585285307179586,2.8945853071795864
2880.0,0,nan,nan,nan,nan,nan
2890.0,0,nan,nan,nan,nan,nan
2900.0,0,nan,nan,nan,nan,nan
2910.0,0,nan,nan,nan,nan,nan
2920.0,0,nan,nan,nan,nan,nan
2930.0,0,nan,nan,nan,nan,nan
2940.0,0,nan,nan,nan,nan,nan
2950.0,0,nan,nan,nan,nan,nan
2960.0,0,nan,nan,nan,nan,nan
2970.0,0,nan,nan,nan,nan,nan
2980.0,0,nan,nan,nan,nan,nan
2990.0,0,nan,nan,nan,nan,nan
2500.0,0,6.0683,0.0962,0.0391,2.5841853071795864,2.799085307179586
2510.0,0,6.0076,0.0962,0.0392,2.5834853071795862,2.859085307179586
2520.0,0,5.9739,0.0958,0.0393,2.585285307179586,2.8945853071795864
2530.0,0,5.9237,0.0956,0.0393,2.587885307179586,2.9473853071795864
2540.0,0,5.8768,0.0952,0.0395,2.581985307179586,2.9883853071795863
2550.0,0,5.8378,0.095,0.0396,2.5778853071795864,3.023285307179586
2560.0,0,5.8245,0.0949,0.0397,2.576685307179586,3.0353853071795864
2570.0,0,5.7987,0.0946,0.0398,2.576085307179586,3.0605853071795863
2580.0,0,5.7844,0.0944,0.0399,2.575185307179586,3.073985307179586
2590.0,0,5.7668,0.0939,0.0399,2.5733853071795862,3.089785307179586
2600.0,0,5.7507,0.0938,0.04,2.5723853071795864,3.104885307179586
2610.0,0,5.7373,0.0935,0.0401,2.5717853071795864,3.117685307179586
2620.0,0,5.7231,0.0933,0.0402,2.569285307179586,3.1293853071795863
2630.0,0,5.7017,0.0928,0.0403,2.5618853071795864,3.143385307179586
2640.0,0,5.6875,0.0925,0.0404,2.558585307179586,3.1542853071795864
2650.0,0,5.6708,0.0924,0.0404,2.553985307179586,3.166385307179586
2660.0,0,5.6595,0.0919,0.0405,2.5527853071795863,3.176485307179586
2670.0,0,5.6459,0.0917,0.0406,2.5517853071795864,3.189085307179586
2680.0,0,5.6272,0.0912,0.0406,2.5454853071795864,3.201485307179586
2690.0,0,5.6148,0.091,0.0407,2.543885307179586,3.2122853071795863
2700.0,0,5.6018,0.0909,0.0407,2.541985307179586,3.223385307179586
2710.0,0,5.5818,0.0908,0.0408,2.535685307179586,3.237085307179586
2720.0,0,5.5579,0.0904,0.0408,2.5237853071795864,3.249085307179586
2730.0,0,5.5358,0.0905,0.0409,2.5161853071795863,3.263585307179586
2740.0,0,5.5159,0.0905,0.0409,2.5085853071795863,3.2758853071795864
2750.0,0,5.4965,0.0899,0.041,2.5056853071795864,3.292385307179586
2760.0,0,5.474,0.0896,0.0411,2.4993853071795864,3.308585307179586
2770.0,0,5.4484,0.0894,0.0411,2.4911853071795864,3.3259853071795864
2780.0,0,5.4231,0.0893,0.0411,2.4822853071795863,3.3423853071795864
2790.0,0,5.405,0.089,0.0412,2.4803853071795863,3.3585853071795864
2800.0,0,5.3849,0.0889,0.0412,2.4738853071795863,3.372185307179586
2810.0,0,5.3552,0.0887,0.0412,2.459285307179586,3.387285307179586
2820.0,0,5.3256,0.0885,0.0413,2.447485307179586,3.4050853071795864
2830.0,0,5.2994,0.0886,0.0413,2.4366853071795864,3.4204853071795864
2840.0,0,5.2812,0.0881,0.0413,2.429185307179586,3.4311853071795864
2850.0,0,5.2575,0.0878,0.0414,2.420985307179586,3.446685307179586
2860.0,0,5.2363,0.0874,0.0414,2.409785307179586,3.4566853071795864
2870.0,0,5.21,0.0872,0.0415,2.395685307179586,3.4688853071795864
2880.0,0,5.1898,0.087,0.0415,2.388985307179586,3.482385307179586
2890.0,0,5.1729,0.0868,0.0415,2.3812853071795863,3.4915853071795864
2900.0,0,5.148,0.0867,0.0415,2.364785307179586,3.4999853071795863
2910.0,0,5.1211,0.0865,0.0416,2.3494853071795863,3.5115853071795864
2920.0,0,5.0974,0.0865,0.0415,2.335085307179586,3.520885307179586
2930.0,0,5.0784,0.086,0.0416,2.3229853071795863,3.5277853071795864
2940.0,0,5.0595,0.0857,0.0416,2.311285307179586,3.534985307179586
2950.0,0,5.0377,0.0853,0.0416,2.296185307179586,3.5416853071795864
2960.0,0,5.0172,0.0848,0.0416,2.2815853071795864,3.5475853071795864
2970.0,0,4.997,0.0845,0.0416,2.267685307179586,3.5538853071795864
2980.0,0,4.9798,0.0841,0.0416,2.2568853071795862,3.560285307179586
2990.0,0,4.9641,0.0838,0.0416,2.2464853071795865,3.565585307179586
3000.0,0,4.9437,0.0834,0.0415,2.2305853071795863,3.5700853071795864
